name,date,stars,comment
FNFashion NovaUS•1 review,10 hours ago,0,"Shipping cost perfectAugust 18, 2025"
PBpaula blumUS•1 review,10 hours ago,0,"Not a good discountAugust 18, 2025"
F&Frenchie & Company Salon llcUS•4 reviews,10 hours ago,0,"I love everything about Fashion NovaI love everything about Fashion Nova August 18, 2025"
ZAZayeUS•1 review,10 hours ago,0,"Quick shippingGreat optionsAugust 18, 2025"
BEBadjie ElizabethCA•2 reviews,11 hours ago,0,"Customer satisfaction Glad with productsAugust 18, 2025"
CLCrystal LlanosUS•1 review,11 hours ago,0,"I never was sent my birthday couponAugust 18, 2025"
TTTamier TaylorUS•1 review,11 hours ago,0,"Love the clothes & checkout went so…Love the clothes & checkout went so smooth! August 18, 2025"
ADAli DiawaraUS•1 review,11 hours ago,0,"Good quality for sweat pants and hoodie…Good quality for sweat pants and hoodie and jeans they ship fast too August 18, 2025"
DJDuverson Jean JustinUS•1 review,11 hours ago,0,"Good suggestionGood suggestion August 18, 2025"
SBShazia BrassfieldUS•1 review,12 hours ago,0,"Wish the express delivery was longerWish the express delivery was longer. Working  some times gets in the way of the promos August 18, 2025"
DMDinoshka MoralesUS•1 review,12 hours ago,0,"Good Good service August 18, 2025"
LDLondon DentUS•1 review,12 hours ago,0,"Fashion nova needs to allow pictures to…Fashion nova needs to allow pictures to go with the reviews like SHEIN, Ali express, and etc August 18, 2025"
FNFashion NovaUS•1 review,12 hours ago,0,"If I get my package on time everytime I…If I get my package on time everytime I pay for 1 day shipping fashion gets over and I don’t get my package till the next week August 18, 2025"
ARAndrea RiveraPR•1 review,12 hours ago,0,"Amazing I find everything I needAmazing I find everything I need August 18, 2025"
FNFashion NovaUS•1 review,12 hours ago,0,"My order is not going through.My order is not going through.August 18, 2025"
KWKwnaya WashingtonUS•1 review,12 hours ago,0,"Always been great so farAlways been great so far August 18, 2025"
Sharonda LoweUS•6 reviews,13 hours ago,0,"Great outfit for all occasionsGreat outfit for all occasions. I love shopping here.August 18, 2025"
CPClaudia PortilloUS•1 review,13 hours ago,0,"I don’t like that there is a lot of…I don’t like that there is a lot of things that are sold out that I want to buy and I feel like the regular prices are to high like the sale right now the price is fairAugust 18, 2025"
THtoya hUS•2 reviews,13 hours ago,0,"Quick ShippingAugust 18, 2025"
TBTeresa BarnettUS•2 reviews,13 hours ago,0,"Great qualityGreat quality, fast shipping.  August 18, 2025"
DDDakarre DorsettUS•1 review,13 hours ago,0,"GoodGood servicesAugust 18, 2025"
FNFashion NovaFR•1 review,14 hours ago,0,"The quality of the clothes is is very goodI love the quality of clothes and sheeping is very fastAugust 18, 2025"
DGDeshawndra GrossUS•1 review,14 hours ago,0,"Variety to chose fromVariety to chose from. Easy checkout.August 18, 2025"
Ashley VasquezUS•1 review,14 hours ago,0,"0 stars if I could0 stars if I could. I ordered a pair of gloves that were supposed to be delivered on July 29th, but I haven’t received them yet and the shipping carrier does not have the tracking number. So… where is my package?… Also customer service is trash, I’ve reached out and they haven’t reached back. I suggest to shop else where . August 18, 2025Unprompted review"
TATaleahUS•1 review,14 hours ago,0,"Great quality and service Check out is always a breeze, receives items on time. Great quality August 18, 2025"
MLMonica LopezUS•1 review,14 hours ago,0,"The app is easy to useThe app is easy to use. Checkout is fast with multiple payment options August 18, 2025"
ARAriadna reyesUS•1 review,14 hours ago,0,"I love fashion novaI love fashion nova August 18, 2025"
EMElla MartinUS•1 review,14 hours ago,0,"I love how fashion nova has week long…I love how fashion nova has week long sales. Also how easily and convenient to return back items. August 18, 2025"
DGDanielle GraysonUS•1 review,14 hours ago,0,"I love fashion nova I’m so happy they…I love fashion nova I’m so happy they even got work scrubs !!August 18, 2025"
FNFashion NovaJM•1 review,14 hours ago,0,"I have been shopping with fashionova…I have been shopping with fashionova for YEARRRRSSSSSas a plus size girly i can count on fashion nova to provide great fashion for plus size..head turning fashion that accentuates every curve and fabulous style.I miss out on nothing as a curvy diva once in wearing fashion novaI absolutely LOVE this site❤️❤️❤️August 18, 2025"
FLFrenchie L. PayneUS•1 review,14 hours ago,0,"I LOVE FASHION NOVA!!!!August 18, 2025"
JCJamia CannadyUS•1 review,14 hours ago,0,"2day shipping is sometimes a scamI order with enough time for two day shipping and it still took seven daysAugust 18, 2025"
FNFashion NovaUS•1 review,14 hours ago,0,"I looooooove FN!!August 18, 2025"
MTMea TobiasUS•1 review,14 hours ago,0,"GreatFast and great service August 18, 2025"
LTLena ThUS•1 review,14 hours ago,0,"amazing everythingamazing everything August 18, 2025"
FNFashion NovaUS•1 review,15 hours ago,0,"I love the quality of the clothesI love the quality of the clothes August 18, 2025"
FNFashion NovaLC•1 review,15 hours ago,0,"Never had any problems with fashion…Never had any problems with fashion nova .August 18, 2025"
Phillip JacksonUS•4 reviews,15 hours ago,0,"Delivery Issues....Customer service support was helpful in retrieving the same items for reshipping after the previous Order was Lost during during shipment...EXCEPTIONAL SERVICE...August 18, 2025"
N/N/aUS•2 reviews,15 hours ago,0,"GreatGreat! I really enjoy shopping on fashion nova the app because it makes things so much easier to navigateAugust 18, 2025"
MOMoniUS•1 review,15 hours ago,0,"shipping is fastAugust 18, 2025"
FNFashion NovaUS•1 review,15 hours ago,0,"Good for the moneyHave what I need and fast shipping August 18, 2025"
TCTricia ColeUS•1 review,16 hours ago,0,"Good experience.August 18, 2025"
FNFashion NovaUS•1 review,16 hours ago,0,"Great pricesAugust 18, 2025"
FNFashion NovaUS•1 review,16 hours ago,0,"Fashion Nova is the best they sell…Fashion Nova is the best they sell quality products August 18, 2025"
FNFashion NovaUS•1 review,16 hours ago,0,"Very helpfulVery helpful August 18, 2025"
FNFashion NovaUS•1 review,16 hours ago,0,"Love the styleLove the style August 18, 2025"
TBTyrone BelcherUS•2 reviews,16 hours ago,0,"Love the pieces I’m a fashion forward…Love the pieces I’m a fashion forward type of person and this place has awesome items! I’m getting a bit obsessed with this site my orders are becoming more frequent lol.August 18, 2025"
PDPaulette DotchUS•2 reviews,17 hours ago,0,"Easy to work siteEasy to work site August 18, 2025"
MEMeletteUS•2 reviews,17 hours ago,0,"I love Fashion Nova 💞💞💗August 18, 2025"
FNFashion NovaUS•1 review,17 hours ago,0,"Because the material is so goodBecause the material is so good August 18, 2025"
GHGlenda HenryUS•1 review,17 hours ago,0,"I LOVE Fashion Nova!…You have beautiful products to select from!  Your order process and return (if needed) process are great.  Thank you!August 18, 2025"
SPstarlina prescottUS•1 review,18 hours ago,0,"Everything went well the dresses are…Everything went well the dresses are soo cute August 18, 2025"
CMcamila meloUS•1 review,18 hours ago,0,"I love how easy it isI love how easy it is August 18, 2025"
WHWhitney HarrisUS•1 review,18 hours ago,0,"Love the site !!!August 18, 2025"
FNFashion Nova Nicola MalcolmCA•1 review,18 hours ago,0,"To get my order on time Good so far 👏🏿 August 18, 2025"
DWDeborah WinstonUS•1 review,19 hours ago,0,"Great service Always great and easy services August 18, 2025"
TTTTUS•1 review,19 hours ago,0,"Shopping experience Always a great experience when ordering August 18, 2025"
TGTkeyah GrahamUS•1 review,19 hours ago,0,"Discount …I received a text a text notification stating that I could use code HOT to get 40% off. I tried to use it numerous of times and it would not allow me. It would only allow me to use 10%. I feel like the system is jigged and it did that on purpose which is not cool to your customers. Why give it to us if you’re not going to allow us to use it?August 18, 2025"
FLFluffTT•1 review,20 hours ago,0,"Quick and easy shopping!Smooth sailing throughout the purchasing process! August 18, 2025"
MFMichel FlorimonDO•1 review,20 hours ago,0,"Best place to buy clothesAugust 18, 2025"
VDVinnie DavisUS•1 review,20 hours ago,0,"Overall experience Love the clothing only place I shopAugust 18, 2025"
DRDayou RomainUS•1 review,20 hours ago,0,"It was very easy to youAugust 18, 2025"
AAAbeer AbAE•1 review,A day ago,0,"Very nice and good quality 👌Very nice and good quality 👌 August 18, 2025"
MDMauniece daandraUS•1 review,A day ago,0,"I really enjoyed the price range and…I really enjoyed the price range and different clothing options,  low pricing August 18, 2025"
FNFashion NovaUS•1 review,A day ago,0,"GoodGood it was very convenient and easy to order ! August 18, 2025"
ARAshley RichardsUS•1 review,A day ago,0,"Overall great experience I always shop on FN it never disappoints August 18, 2025"
BYBittanya YigzawUS•1 review,A day ago,0,"Please bring it on timePlease bring it on time August 18, 2025"
SNSamantha nievesUS•1 review,A day ago,0,"Great and easy !!but  Wish it had…Great and easy !!but  Wish it had pictures for reviews, it would make it 100 times better August 18, 2025"
Fawn SouthersUS•2 reviews,A day ago,0,"OutstandingOutstanding August 18, 2025"
JMJayden MunguiaUS•1 review,A day ago,0,"Love everythingAugust 18, 2025"
RORosaUS•3 reviews,A day ago,0,"It’s always a great experience live…It’s always a great experience live every purchase the only time I had issues is with jeans there too long August 17, 2025"
JEJessTessCA•1 review,A day ago,0,"Simple and fast process.August 18, 2025"
E.E.I.VUS•7 reviews,A day ago,0,"Fashion NovaAwesome very simple and fast August 7, 2025"
ATAaliyah thomasTT•1 review,A day ago,0,"Great materialGreat material June 16, 2025"
NPN’naga pointdujourUS•1 review,A day ago,0,"You always make sure we have what we ask Because every time I buy something I love what I get July 18, 2025"
NOnormaUS•2 reviews,A day ago,0,"love the clothing good quality always…love the clothing good quality always shopAugust 17, 2025"
TGTaliyah GriffinUS•3 reviews,A day ago,0,"The quality is amazing!I love the detail and fashion! August 8, 2025"
AMAmyUS•1 review,A day ago,0,"So many cute itemsSo many cute items! Customer service is good, returns are simple. I love Fashion Nova! July 13, 2025"
ADAde DelarosaUS•1 review,A day ago,0,"Love fashion novaLove fashion nova August 17, 2025"
JPJenny PadillaUS•1 review,A day ago,0,"App is very easy to use App is very easy to use . Great clothes! August 1, 2025"
RKRossa KCA•1 review,A day ago,0,"We need picture reviewsWe need picture reviews. Need an option to clear the cart in one click The pictures are beautiful and math the products. August 17, 2025"
ANAnniquaUS•2 reviews,A day ago,0,"Okay experienceI like the prices and variety of clothing items but site was freezing and taking a min to load.August 17, 2025"
FWFOREVER  was betterUS•1 review,Updated a day ago,0,"thieves (FOREVER21 was Better!!)thieves, take your money dont refund for their mistakes will send you items you didnt order and wrong sizes and make you pay for the return.August 7, 2025"
DJDemetris JohnsonUS•1 review,A day ago,0,"I luv the gift cards I luv that I can…I luv the gift cards I luv that I can get faster shipping and I luv that the clothes have a comfortable fit August 17, 2025"
BRBrittney US•3 reviews,A day ago,0,"Easy Love that I was able to return an item and get a gift card fast to reorder August 17, 2025"
AHalyssa harveyUS•1 review,A day ago,0,"It’s always been goodIt’s always been good, I am a cheap baby but I never mind spending extra since it’s always been great quality August 17, 2025"
KWKendall WilliamsUS•1 review,A day ago,0,"I am missing 3 items from my order and…I am missing 3 items from my order and there is no customer service support! August 17, 2025"
CPCarlos ParraUS•1 review,A day ago,0,"Good stuff qualityBest quality on clothes and cheap August 17, 2025"
KBKimberly bruceTT•1 review,A day ago,0,"Everything was easy lots of optionsEverything was easy lots of options August 17, 2025"
VJVatisha JohnsonUS•2 reviews,A day ago,0,"Great products..Great products... Better than Shein! Clothes fit much better, and the material is an upgrade from the cheap clothing from Shein and Temu...August 17, 2025"
DHDemetrius HinesUS•1 review,A day ago,0,"Always easy to shopAugust 17, 2025"
YRYolette RozambertUS•1 review,1 days ago,0,"Incredible ExperienceIncredible Experience August 17, 2025"
CGCharles GadsonUS•1 review,1 days ago,0,"Always go to place to find clothes!Always go to place to find clothes! August 17, 2025"
TTTaliek T WiseUS•2 reviews,1 days ago,0,"Online Experience Thank you for an easy search online August 17, 2025"
ABAngela BarraganUS•1 review,1 days ago,0,"Always waiting for NFL season with…Always waiting for NFL season with Fashion Nova looking for 49ers gear!August 17, 2025"
ALAnJeliegh LyurnUS•1 review,1 days ago,0,"Great styles Love the clothes and different styles August 17, 2025"
KWKae W.US•1 review,2 days ago,0,"I’ll Be Back!!I love that they always come in handy when I need something to wear. Especially last minute without a doubt I know they’ll have something for a sista Soulja. They even often have discounts although their items are reasonably priced. Thank you Fashion Nova <3August 17, 2025"
FNFashion NovaPR•1 review,2 days ago,0,"Great experience Great experience! Love it my dressAugust 17, 2025"
KYKyshaShawUS•1 review,2 days ago,0,"Everything I wanted I gotEverything I wanted I got! Thank you!August 17, 2025"
BRBrookeUS•1 review,2 days ago,0,"Always great deals and fast deliveriesAlways great deals and fast deliveries. I love Fashion Nova 🫶🏽August 17, 2025"
TBTBriggsUS•2 reviews,2 days ago,0,"Fashion Nova is the best!Fashion Nova is the best!! Love the quality of clothes and the timely delivery I receive now. August 17, 2025"
K.K.C.US•3 reviews,2 days ago,0,"Don't feel appreciated I like your items as the company can see I order from you often, however you need to have a better loyalty program more coupons for your loyal customers. You all need to have a better return policy as well. August 17, 2025"
SGSG.US•1 review,2 days ago,0,"Easy Easy Process.August 17, 2025"
LELiya EmmanuelUS•1 review,2 days ago,0,"My order keeps getting canceled after…My order keeps getting canceled after the right information August 17, 2025"
HOHoneyUS•2 reviews,2 days ago,0,"True LoveFashion Nova is my favorite place to shop!August 17, 2025"
CHChrisUS•5 reviews,2 days ago,0,"Best clothes easy exchangesBest clothes easy exchanges August 17, 2025"
MMmima mpangiUS•2 reviews,2 days ago,0,"Fast deliveryFast delivery August 17, 2025"
LGLeslie GomezUS•1 review,2 days ago,0,"Loved everything!August 17, 2025"
FNFashion NovaUS•1 review,2 days ago,0,"Scammed!I was supposed to get 40% OFF + FREE shipping for signing up and making an account but I didn’t get any of the discounts.August 17, 2025"
TJTameka JacksonUS•1 review,2 days ago,0,"Fast delivery Timing and discounts like this appAugust 17, 2025"
VWVan WilliamsUS•1 review,2 days ago,0,"I love fashion nova the clothes are…I love fashion nova the clothes are amazing August 17, 2025"
TMTerry MaloneUS•1 review,2 days ago,0,"I love shopping on here as a plus size…I love shopping on here as a plus size woman August 17, 2025"
LOloolaayUS•1 review,2 days ago,0,"Very goodVery good, deals are excellent and clothes are amazing August 17, 2025"
DJdjinhosernibUS•2 reviews,2 days ago,0,"Good selection of clothes 👌Good selection of clothes 👌 August 17, 2025"
LALakeUS•1 review,2 days ago,0,"I love fashion novaI love fashion nova, I've been ordering from them for years and I will continue to do so. August 17, 2025"
CMcecilia marroquinUS•1 review,2 days ago,0,"Love it everythingLove it everything August 17, 2025"
DGDeborah Goodie-ObiUS•1 review,2 days ago,0,"The app was easy to use and the sales…The app was easy to use and the sales were actually worthwhile! August 17, 2025"
ZOZolaUS•1 review,2 days ago,0,"Very amazing experienceVery amazing experience, from the swift return and getting my store credits and placing my orders again. I love me some fashionnova. August 17, 2025"
BABarbaraUS•5 reviews,2 days ago,0,"Love love loveAugust 17, 2025"
SISindyUS•2 reviews,2 days ago,0,"I,ve been a buyer since 2018 and I’m…I,ve been a buyer since 2018 and I’m loving it every time I buy August 17, 2025"
AMAmiahUS•1 review,2 days ago,0,"They’re sometimes iffyThey’re sometimes iffy. Sometimes the clothes fit and sometimes they don’t. When fashion nova first came out the quality was tea but now it’s not so good so I just buy basic things now. August 17, 2025"
JPJonathan PetiteUS•1 review,2 days ago,0,"Delivery Nice clothes affordable priceAugust 17, 2025"
ANAntoineUS•2 reviews,2 days ago,0,"Great love Fashion Nova!!August 17, 2025"
AKAlicia KUS•1 review,2 days ago,0,"Great quality clothing also super cute!August 17, 2025"
WAWandaUS•1 review,2 days ago,0,"Great sales!Great sales! August 17, 2025"
FNFashion NovaUS•1 review,2 days ago,0,"Love this appLove this app August 17, 2025"
DCDwayne CoxUS•2 reviews,2 days ago,0,"I was able to identify that I was…I was able to identify that I was missing items I had favorited some time ago.August 17, 2025"
LCL. CUS•2 reviews,2 days ago,0,"Great offersAugust 17, 2025"
FNFashion NovaUS•1 review,2 days ago,0,"Good sale thank uAugust 17, 2025"
CKCynthia KisangAU•1 review,2 days ago,0,"Easy to orderAugust 17, 2025"
PLParis LorealUS•1 review,2 days ago,0,"Never seems to disappoint meNever seems to disappoint me, I love FNAugust 17, 2025"
GTGtUS•2 reviews,2 days ago,0,"Great experience!August 17, 2025"
SLScarlett LopezUS•1 review,2 days ago,0,"Good qualityAugust 17, 2025"
JMJ. McCallCA•2 reviews,2 days ago,0,"No way to contact back to notify system of their own mistake …No way to contact back to notify them their system did not pick up my expidited fee of $40 for a quick shipment for and event. It was literally seconds after the order went through I was on it. Now I had to reorder and will have to pay for my shipping costs back for a refund when it was the systems fault. Won’t purchase again. There should be contact support with an individual not questionnaires. Email at least. Super unpleased. August 17, 2025"
KMKeisha MooreUS•1 review,2 days ago,0,"One time I ordered a dress and it was…One time I ordered a dress and it was wore before August 17, 2025"
JordessUS•1 review,2 days ago,0,"ExcellentExcellent experience August 17, 2025"
MMMelissa McGuireUS•1 review,2 days ago,0,"Love there clothesLove there clothes August 17, 2025"
FNFashion NovaUS•1 review,2 days ago,0,"Easy check outEasy to navigate August 17, 2025"
JPJoy PriceUS•1 review,2 days ago,0,"I wasn't able to use the discount…I wasn't able to use the discount although I should have at the related to the Bible and get one free jeans that were denimAugust 17, 2025"
TCTerri CUS•1 review,2 days ago,0,"Fashion nova always has different…Fashion nova always has different styles to choose from and coupons/ discounts, which are always a plus. August 17, 2025"
JSJada SmikleJM•1 review,2 days ago,0,"Fashionnova is my go to shopping…Fashionnova is my go to shopping website to purchase all my outfits August 17, 2025"
CUcustomerUS•2 reviews,2 days ago,0,"Very great quality productsI love the style of the clothing August 17, 2025"
CECYNTHIA EMMANUELUS•3 reviews,2 days ago,0,"Satisfied in the 305Site is easy to use and the items are up my alley. The delivery is also fast and hassle freeAugust 17, 2025"
ADAnusti DeatonUS•1 review,2 days ago,0,"I love shopping here 😩August 17, 2025"
TATaquillaUS•2 reviews,2 days ago,0,"Do not order from fashion Nova.Do not order from fashion Nova.. my order  #164024084. After ordering I received parcel order..The jacket to my pants suit was not in my order. I’ve been trying to contact through the help center all day and cannot get through to anybody. The website is not working. I need my item..August 17, 2025Unprompted review"
FPFrisnel PierreUS•1 review,2 days ago,0,"Good quality materials Good quality material and shipping is fast.August 17, 2025"
IMIsabel MendozaUS•1 review,2 days ago,0,"Love the reviews from other people. The material is always great Love the way the models present the merchandise. Everything is always was true to size! Never had issues purchasing or returning items!August 16, 2025"
PTPaula TaylorUS•5 reviews,2 days ago,0,"Timing and Acfroncuracy The clothes are visually nice,and great quality. I had some issues with Fashion Nova in the past i.e sending me 2 items of the same when I've chosen 1. Damaged boots, but I've purchased lots of clothes from Fashion Nova and my experience has been more positive than negative.July 10, 2025"
APAndria PalmerUS•1 review,2 days ago,0,"good browsing experienceAugust 16, 2025"
FNFashion NovaUS•1 review,2 days ago,0,"Easy to navigate websiteEasy to navigate website. Has exactly What I’m looking for August 16, 2025"
AUAziza UwamariyaUS•1 review,Updated 2 days ago,0,"I buy stuff from fashion nova but I…I buy something from fashion nova but I didn’t receive it June 5, 2025"
AMAmy MUS•1 review,2 days ago,0,"Fashion Nova is MY FAVORITE!Fashion Nova is MY FAVORITE place to shop! They have SO MUCH to choose from, and DEALS that NO ONE can beat!! I've literally loved EVERYTHING that I've ordered! Thank you so much!May 27, 2025"
DFDiamond FaustUS•2 reviews,2 days ago,0,"great always fast shippinggreat always fast shipping August 1, 2025"
MEMonica EvansUS•1 review,2 days ago,0,"Coupons are a scam I clicked on your add for free one day shipping but at checkout it said that code was invalid. This will be the last time I shop here- that’s a scam.August 16, 2025"
LELucas estradaUS•1 review,2 days ago,0,"gooddddđvery goodddd !August 15, 2025"
DGDajah GreenUS•1 review,2 days ago,0,"I still haven’t received my orderI still haven’t received my order August 9, 2025"
MEMaholy EspinalCA•1 review,2 days ago,0,"I've been a customer of this store for…I've been a customer of this store for almost 6 years. I love it. ❤️September 17, 2024"
MIMilesUS•1 review,2 days ago,0,"5 Stars for FashionNovaClothes are great for a awesome price, unlike other retailers. August 16, 2025"
SMSelena MarieUS•1 review,2 days ago,0,"I really dislike the cost of shipping…I really dislike the cost of shipping I’ve previously ordered some stuff and asked for the 1 day shipping it never ended up coming on time for my event which was in a couple days from the date I ordered I need the shorts to see if they’d go well with my outfit or not paid over 50 dollars for the entire purchase of some yellow ruffle shorts August 16, 2025"
Nicole KnightUS•2 reviews,2 days ago,0,"I placed an order today 8/16 I noticed…I placed an order today 8/16 I noticed that when the discount was placed you eliminated the additional $15.99 for 2-3 day shipping. Since I'm traveling on 8/23 i wanted to adjust the order i just made to add the $15.99 for shipping I wasnt allowed 2 and had to place a brand new order. and cant even cancel the previous order. Your customer service is horrible and this will be my last time ordering. August 16, 2025"
FIFatima IssaCA•1 review,2 days ago,0,"Canadian returns are horrible Company doesn’t value customers money or show us trust because we have to pay to return items that don’t fit. Which on their website barely has reviews to help and horrible sizing references. In addition to that we get store credit, no sign of trusting their customer. I would buy wayy more if returns were easy. August 16, 2025"
BJBernard Jappah JrUS•2 reviews,2 days ago,0,"They have a good clothesThey have a good clothes August 16, 2025"
SAShaquista AveryUS•1 review,2 days ago,0,"Love Fashion NovaAugust 16, 2025"
MUMegan UzzellUS•4 reviews,2 days ago,0,"Fast and affordableFast and affordableAugust 16, 2025"
CTCarl TylerUS•1 review,2 days ago,0,"Very satisfied everything that I buy!August 16, 2025"
COCocoaUS•1 review,2 days ago,0,"Very tall girl friendlyGreat I found cute clothes and jeans for us tall girlysAugust 16, 2025"
CUcustomerUS•2 reviews,2 days ago,0,"Tall girl friendlyTall girl friendly. However, it would be cool if it was more tall girl pants and jeans. August 16, 2025"
HMHoward MillerUS•1 review,2 days ago,0,"Happy Happy shopperAugust 16, 2025"
KD US•6 reviews,2 days ago,0,"Dedicated shopper hereDedicated shopper here. I find a plethora of options that fit my body type. I’m thoroughly impressed. The sales are amazing. My go to stop for jeans and shirts. August 16, 2025"
LMLaMiya MetcalfUS•1 review,2 days ago,0,"easy experience It was very easy , and it only took a minute to order it .August 16, 2025"
MGmarinelva garciaUS•1 review,2 days ago,0,"“Wonderful experiencew“Wonderful experience! I found exactly what I was looking for, and the prices were great. I’ll definitely be coming back and recommending this store to others.”August 16, 2025"
FAFaithUS•1 review,2 days ago,0,"Dislike shipping feeDislike shipping fee. Wish a standard delivery option was available.August 16, 2025"
MCMonicakes CruzUS•2 reviews,2 days ago,0,"I LOVE SHOPPING HEREAugust 16, 2025"
PCPorscha CarrUS•2 reviews,2 days ago,0,"Very easy love reading the views before…Very easy love reading the views before I select my size that best fits for me August 16, 2025"
KVkristina VargasUS•1 review,2 days ago,0,"i love the fast deliveryi love the fast delivery August 16, 2025"
AKAndrumada KingUS•3 reviews,2 days ago,0,"I love Fashion NovaAugust 16, 2025"
VRVictor R  CunninghamUS•1 review,2 days ago,0,"I put in a code and it automatically…I put in a code and it automatically went to check out ? Text for help they couldn't helAugust 16, 2025"
ANAnaUS•1 review,3 days ago,0,"I like fashion nova good pricesI like fashion nova good prices August 16, 2025"
CMCANDICE McculloughUS•2 reviews,3 days ago,0,"Best clothes ever!August 16, 2025"
FNFashion NovaUS•1 review,3 days ago,0,"FastI love how fast and easy it is to receive my package August 16, 2025"
CCCandice CallenderTT•1 review,3 days ago,0,"I sent 3 items to the wrong address…I sent 3 items to the wrong address since I haven’t shopped here for a while. When the items returned to FN I didn’t even get the opportunity to repurchase my order. You just sent me a give card and now the item I wanted the most is out of stock. Why wasn’t I asked if I wanted to send to a different address. This item was for an upcoming interview , I’m very disappointed !!!August 16, 2025"
