name,stars,comment
به دنبال آلاسکا,4,اگه زیاد حسرت فرصت هایی که از دادید رو میخورید و فکر میکردید اگه فلان اتفاق میافتاد الان زندگیم جور دیگه ای بود حتما این کتاب رو بخونید…باعث میشه از یه زاویه دیگه به زندگیتون نگاه کنید
fatemeh,5,"این کتاب برای من که منتظر جواب کنکورم بودم خیلی عالی بود یه حس خوب بود برام یه وقت هایی هیجان.
در کل توصیه میکنم به خوندنش
مثل رمان های سطحی نبود پر از مفهوم بود:)))
پی نوشت:
جواب کنکورم اومد مامایی قبول شدم و برای یه بار دیگه بازم پشت موندم:/
بعد از سه سال خب بالاخره قبول شدم دارو:)"
بلاتریکس لسترنج,5,"هر تصمیم هزار احتمال متفاوت برای تغییر زندگی جلوی پای تو میزاره
چیزی که حسرتش رو میخوری شاید هرگز مناسب تو نبوده
شاید اتفاقی که افتاده دلیلش چیز دیگه ای بوده و تو هرگز نفهمیدی
خوندنش رو پیشنهاد میدم"
Ellahe,1,"من نتونستم این کتاب رو تموم کنم! به زحمت ۱/۳ کتاب رو خوندم و پرونده شو برای حودم بستم!! برای من این کتاب بیشتر یک متن طولانی با پیام مستقیمِ: قدر زندگیت رو بدون و پشیمون نباش! چون معلوم نیست با انتخاب های دیگه ات راضی تر و خوشبخت تر می شدی، بود!! و بدون هیچ گره ای که حداقل چند صفحه خواننده رو با خودش همراه کنه. جواب هر سوالی به راحت ترین مدل داده میشد. نورا تو اولین زندگی جایگزین دن رو دید. با اولین خنده دن یادش اومد که خیلی هم از دن خوشش نمیومده و دن با خنده هاش اون رو مسخره می کرده و سریع از زندگی با دن پشیمون شد! تو زندگی بعدی، آدرس خونه شو نمی دونست و به سرعت ایمیلی رو خوند که توش آدرس خونه رو به یک نفر داده بود!!!!!
این کتاب اصلا داستان نبود! یک پیام اخلاقی پیچیده لای کلمات بی شمار بود شبیه به پیام هایی که سخنران ها و موعظه گران برای شنونده هاشون دارند!!"
lonelyhera,5,"بعد از خواندن این کتاب فقط به یک چیز فکر کردم قدم بعدی چیه؟ اگه کاری رو انجام بدم نتیجه اش چه تغییری روی زندگیم میذاره؟ چه مسیری رو ایجاد میکنه و چه مسیری رو تخریب میکنه ؟ اگه این مسیر رو نمیرفتم الان کجا بودم؟ فکر میکنم این کتاب خیلی خوب میتونه این نگرش رو در ما انسان ها ایجاد کنه که هر چیز کوچکی مسیر زندگی ما رو تغییر میده پس باید توی انتخاب کردنشون حتما دقت کنیم .
مسئله دیگه ای که کتاب اشاره کرد بهش بحث حسرت ها بود و چه حسرت های پوچ و بیهوده ای رو درون خودمون حبس کردیم بیاید کنار هم قلبمون رو بتکونیم و به زندگی حال برگردیم و نذاریم فرصت ها و لحظات الانمون وارد کتاب حسرت ها بشن .🌻"
fahime,4,کتابی در باب حسرت‌ها... با توجه به انتخابش به عنوان بهترین فیکشن ۲۰۲۰ در گودریدز، مشتاق خوندنش بودم، اما انتظاراتم برآورده نشد؛ خوب بود، اما نه به اندازه‌ای که فکر می‌کردم. ایده تکراری بود، و از نظر داستان‌پردازی معمولی بود. ترجمه روان و خوب بود، اما ایپاب مشکل داشت، به کرات دوم شخص مفرد به صورت سوم شخص مفرد نوشته شده بود. مثلا گفته (با یک همزه‌ی کوچک روی ه) به جای گفتی.
رادیو سکوت :),5,"متن نظرمو تغییر دادم*
فکر کنم نظرات دیگران راجب اینکه کتاب در مورد چیه و چه نکات مثبت و منفی داره توضیح دادن
روی صحبتم با اونایی هست که نمیدونند کتاب رو بخونن یا نه اگه توانایی اش رو داشتم به هر کسی که زندگی براش بی معنی شده این کتاب رو معرفی میکردم :))
و البته به هر کسی که تو زندگی اش هدف داره :)) شاید در تناقض با جمله بالاییم باشه اما به نظرم برای این افراد هم مفیده :)))
و همینطور به هر کسی که فکر می‌کنه زندگی با یه سرعت سرسام آور داره سریع میگذره و انقدر‌ در تکاپو هستن که یادشون رفته یه جایی باید واستن و از منظره لذت ببرنهم توصیه میکنم بخونند :)))"
Josee,4,".
✨حسرت است که باعث می شود در خود چروکیده و پژمرده شویم. اگر این زندگی و این وضع رو دوست نداری، به کارایی که نکردی فکر نکن. به این فکر کن چکار کنم تا اوضاع همونی باشه که میخوام.✨
.
.
این کتاب رو من در بهترین زمان خریدم و خوندم. یجورایی انگار راست میگن کتاب‌ها به وقتش سراغت میان. این کتاب هم از اونا بود.
.
. بیشتر ماها همیشه تو زندگیمون حسرت میخوریم چرا اینطور رفتار کردیم... اصلا چرا اینطوری شد... کاش این کارو قبول میکردم و...
. نورا تونست جای همه ما زندگی هایی رو تجربه کنه که هیچ حسرتی توش نباشه و حتی زندگی هایی رو زندگی کرد که خیلی خیلی بهتر هم بود. . درسته نمیتونیم هیچکدوم از این کار هارو انجام بدیم... نه تو داستان رفتن،نه زندگی دیگه رو تجربه کردن، نه دیدن آدمای عزیز گذشته زندگیمون و... ولی... ولی میتونی خودت کتاب حسرت هات رو بنویسی میتونی توش زندگی کنی. حتی میتونی تغییرش بدی بدون اینکه لازم به کسی باشه. اینو بدون قرار نیست حتما چیزیو تجربه کنیم تا برامون درس بشه.
.
.
خیلی دوست دارم بیشتر بگم ولی داستانو همین الانشم انگار دارم لو میدم. خلاصه این کتابو به کتاب دوستان حتما پیشنهاد میکنم 🌼
. .
پ.ن:از همین حسرت هامون لذت ببریم چون شاید در زندگی های دیگه خیلی چیزا با بودنشون تغییر می‌کرد که خیلی بدتر بود. ✨🌿"
این مــنم,5,"این کتاب رو به شدت توصیه میکنم!!! خیلی تونست امیدوارم کنه
و بهم بگه
هی! حسرت خوردن بسه!
زندگیتو بکن"
deltaaliani,5,من این کتاب رو به انگلیسی خوندم و خیلی دوست داشتم. فانتزی و متفاوته . در مورد کیفیت ترجمه اصلا نمی دونم.
seyyede313,3,این کتاب رو حدودا 8 ماه پیش شروع کردم، هر بار بعد از خوندن چند صفحه به قدری خسته میشدم که کتاب رو رها میکردم و پارت بعدی مطالعه چند هفت بعد شروع میشد! بنظرم در حد تعاریفی که ازش میشه نیست اصلا. خیلی کسل کننده ست. تا الان 70 درصدش رو خوندم و بنظرم اگه حرفی برای گفتن داشته باشه توی 30 درصد انتهایی کتابه که هنوز نخوندم! در مجموع برای من دلچسب نبوده تا الان...
f_niknam,1,والا نمیدونم چی بگم برای من راضی کننده نبود نمیدونم چطور بعضی از دوستان انقدر تعریف کردن این رمان رو تموم نکرده گذاشتمش کنار
Sharareh Haghgooei,3,داستان در مورد دختری افسرده است که پس از خودکشی مجال آزمودن هر نوع زندگی احتمالی را به دست میاورد و در پس هر تجربه جزییاتی، نگرش او را به زندگی تغییر میدهد.و آخرین تجربه کاملا فکرش را عوض می کند!!!شاید ایده تا حدی ابتکاری بود ولی داستان در کل جذابیت زیادی نداشت و اصلا در تجربه های زندگی مختلف عمیق نشده بود.
SARA,4,موضوع خاصی داشت در عین سادگی پر از مفهوم و درس زندگی بود.
◉『𝑯𝒊𝒗𝒂』◉,5,نماد فرصت...نماد زندگی...نماد حیات...نماد اهمیت...نماد ایستادن..نماد برگشتن‌ و نماد امید بود...
مشهور ترین گمنام دنیاD=,4,"جذابیت بالایی توی طرح داستان داره و ایده اولیه داستان به تنهایی ترغیب کنندست واسه خوندنش ...
هر چه قدر جلوتر برین داستان گرم تر میشه و بیشتر شما رو به خوندن تشویق میکنه...
اما ذکر یه سری نکات که از نظر اخلاقی و فرهنگی با جامعه ما تفاوت داره برای من ناخوشایند بود... ولی از نظر محتوا و مفهوم عمقی واقعا تاثیر گذار و جذاب بود و نویسنده توی انتقال این مفهوم تا حد زیادی موفق بوده... در کل اگه عمقی نگاه کنیم کتاب مفید و سرگرم کننده ای هست و خوشحالم که خوندمش😊👍"
م.حکیمی,5,"مدت زیادی از آخرین بار که تونستم یه کتابو به آخر برسونم می‌گذره تو این مدت کتابای زیادی رو نصفه رها کردم.
با کتاب خانه نیمه شب اتفاقی توسط یه دوست آشنا شدم
و همش تو این فکر بودم که کاش زودتر می‌خوندمش و چقدر بهش نیاز داشتم.
منی که مدام احساس ناکافی بودن دارم مدام درگیر این حسم که توی انجام هیچ کدوم از نقشایی که قرار بوده انجام بدم موفق عمل نکردم.
و مدام حسرت تصمیم های اشتباه گذشتمو میخورم...
این کتاب بهم یاد داد که هر ""محبوبه"" ای که میتونستم باشم و الان حسرتشو می‌خورم هنوزم توی وجودم هست و من هنوز زنده ام پس کلی راه واسه زندگی کردن دارم و قرار نیست با حسرت خوردن دست از زنده بودن بکشم🌱💚"
ali.ameri.e,4,"یک کتاب با یک داستان خیلی معمولی و ساده ولی درباره حسرت هایی عمومی که می‌توان در تمام اطرافیانمان دید.
کتاب آنقدری که در موردش صحبت میشد جذاب نبود و چیز خاصی نداشت به جز سادگی در گفتار و انتقال موضوع که به نظر من خود این موضوع یک امر بسیار مهم است ولی چیزی که از این کتاب انتظار داشتم خیلی بیشتر از این بود و با خواندش خیلی توی ذوقم خورد ولی توانستم یک دیدگاه جدید در کتابخوانی بدست بیارم."
dr.niki,1,"سطح؛ خیلی خوب
.
پیشنهاد به همه کسانی که دوست دارند بهتر باشند.
.
گاهی وقتی توی یه مسیر قرار می گیری، انگار زمین و زمان و چرخ و فلک دست به دست هم میدن تا کاملتر اون مسیر و مطلب رو درک کنی.
اگر به مطالعه پیرامون جهان پس از مرگ و جهان های موازی علاقه دارین، این کتاب که از نظر من، نه رمان، بلکه فلسفه ای زیست شده هست رو مطالعه کنید.
این کتاب جزو کتابهایی که باید پیرامونش فکر کرد.
گاهی خسته کننده میشه، میشد کوتاهتر باشه، اما حتی با همون اضافات هم بسیار توصیه می شود.
.
""لازم نیست زندگی رو درک کنی، فقط کافیه لحظات رو زندگی کنی""."
بوته‌سبزریحان🌱,4,"از لحاظ نو بودن ایده و فضای ذهن نویسنده این کتاب حرف ها برای گفتن داره!
بیان کردن یک موضوع مهم و حائز اهمیت در قالب یک داستان تخیلی حقیقت محور نقطه قوت این داستان بود!
بی شک این کتاب جزو اون کتاب هاییِ که دیدت رو نسبت به محیط اطرافت تغییر میده!
کتابی که من خوندم از این نشر و مترجم نبود و متاسفانه ترجمه‌ی بشدت ضعیف و پر از ایرادی داشت.
با احترام پیشنهاد میکنم ترجمه ""معصومه ضمیریان"" رو نخونید چون به دلیل ترجمه‌ی چاپ اول کتاب پر از نقص بود!
در کل این کتاب حسابیییی پیشنهاد میشه😁💙"
pejmannavi,4,"داستان جالبی بود. تشبیه برزخ - یا حداقل چیزی شبیه برزخ - به کتابخانه خلاقانه بود. خصوصا این خلاقیت کاملا در جهت اهداف داستان قرار میگرفت. کتاب روی من تاثیر زیادی داشت. همه ما درگیر حسرتهامون هستیم. اینکه اگه میتونستیم و به گذشته برمیگشتیم راه زندگی رو جور دیگه ای طی میکردیم. کتاب بخوبی به ما یادآوری میکنه که انجام نسخه دیگه ای از زندگی به خوبی تخیل ما درنمیاد. اینکه خوب نوشتن کتابی که داریم مینویسیم مهمتر از بازنویسی کتابهای گذشته ست. اینکه حسرتی خلق نکنیم بهتر از نشستن و به حسرتهای گذشته فکر کردنه و ...
در کنار اینها تصویرسازی کتاب به فیلمنامه شباهت زیادی داشت. انگار نویسنده از الان خودش رو برای یک فیلم فانتزی هالیوودی آماده کرده بود. البته اگه تا حالا فیلمش رو نساخته باشن."
realarezu,5,عقیده دارم برای هر فردی، اون بازه ی زمانی خاص از زندگیش که کتابی رو میخونه خیلیییی تاثیر داره روی برداشت از کتاب و نظر کلی در باره ی موضوع .. (به شخصه در زمان مناسبی این کتاب رو مطالعه کردم انگار که برای همون وضعیت من بود)من خیلی طرفدار کتاب های فلسفی نیستم ولی نویسنده در این کتاب ،یک موضوع فلسفی رو خیلی شیک به شکل داستان دراورده .. در مورد اتفاقات و زندگی هااایی که در پس تصمیم های مختلف میتونست در انتظار ما باشه خووب یابد... و در نهایت اینکه فقط فرداو فرداها هستند که صفحه های سفید زندگی ماهستند.. اینکه چه نقشی به خود بگیرند دست خودماهست ... و در نهایت خوشبختی اون حس درونی ما هست شاید به نطر موقعیت ها،شغل ها،حضور ادم ها،نبود ادم ها،جغرافیا ها و....از دور برای ما تجلی خوشبختی باشند اما اگر همون موقعیت هارو زندگی میکردیم اصلا حس خوبی نداشتیم (به نقلی خیلی چیز ها از دور قشنگ هستند) از طرفی ما زمان کافی برای زندگی کردن احتمالات مختلف رو نداریم ... پس مهم تریم کار بهترین تصمیم برای زندگی در الان هست ...و جذاب ترین زندگی همون زندگی ای هست که قصه اش نوشته نشده 😌🏳
Allabout_shin,5,"عالی بود شاید یکی از بهترین کتاب هایی که خوندم ، و هیچ چیز نمیتونه بجز جمله زیبا بود نظرم رو ابراز کنه محتوای کتاب رو توی خلاصه به قدری که داستان لو نرفته باشه توضیح داده ولی حسی که آخر کتاب داشتم فقط این بود که
چقدر خوشحالم این کتاب رو خوندم"
